Dato (YYYYMMDD),Kg/Yr,Number of Atoms
20181001,3.84E-02,9.78E+22
20181101,3.45E-02,8.80E+22
20181201,7.57E-02,1.93E+23
20190101,7.84E-02,2.00E+23
20190201,1.44E-01,3.66E+23
20190301,7.25E-02,1.85E+23
20190401,1.09E-01,2.79E+23
20190501,9.76E-02,2.49E+23
20190601,6.80E-02,1.73E+23
20190701,1.20E-01,3.05E+23
20190801,9.38E-02,2.39E+23
20190901,7.11E-02,1.81E+23
20191001,4.08E-02,1.04E+23
20191101,1.41E-02,3.58E+22
20191201,5.72E-02,1.46E+23
20200101,8.93E-02,2.28E+23
20200201,6.35E-02,1.62E+23
20200301,4.43E-02,1.13E+23
20200401,4.32E-02,1.10E+23
20200501,4.22E-02,1.08E+23
20200601,4.01E-02,1.02E+23
20200701,4.29E-02,1.09E+23
20200801,7.18E-02,1.83E+23
20200901,3.38E-02,8.61E+22
20201001,9.31E-02,2.37E+23
20201101,9.31E-02,2.37E+23
20201201,9.31E-02,2.37E+23
20210101,9.31E-02,2.37E+23
20210201,9.31E-02,2.37E+23
20210301,9.31E-02,2.37E+23
20210401,9.31E-02,2.37E+23
20210501,9.31E-02,2.37E+23
20210601,9.31E-02,2.37E+23
20210701,9.31E-02,2.37E+23
20210801,9.31E-02,2.37E+23
20210901,9.31E-02,2.37E+23
20211001,9.31E-02,2.37E+23
20211101,9.31E-02,2.37E+23
20211201,9.31E-02,2.37E+23
20220101,9.31E-02,2.37E+23
20220201,9.31E-02,2.37E+23
20220301,9.31E-02,2.37E+23
20220401,9.31E-02,2.37E+23
20220501,9.31E-02,2.37E+23
20220601,9.31E-02,2.37E+23
20220701,9.31E-02,2.37E+23
20220801,9.31E-02,2.37E+23
20220901,9.31E-02,2.37E+23
20221001,9.31E-02,2.37E+23
20221101,9.31E-02,2.37E+23
20221201,9.31E-02,2.37E+23
