Dato (YYYYMMDD),129I GBq,Kg/Yr,Number of Atoms
20031201,41.58,6.52,3.05E+025
20040101,87.35,13.71,6.4E+025
20040201,56.28,8.83,4.13E+025
20040301,86.59,13.59,6.35E+025
20040401,10.7,1.68,7.84E+024
20040501,47.89,7.51,3.51E+025
20040601,68.97,10.82,5.06E+025
20040701,85.4,13.4,6.26E+025
20040801,55.81,8.76,4.09E+025
20040901,55.14,8.65,4.04E+025
20041001,24.77,3.89,1.82E+025
20041101,46.17,7.24,3.38E+025
20041201,25.42,3.99,1.86E+025
20050101,27.06,4.25,1.98E+025
20050201,56.23,8.82,4.12E+025
20050301,55.49,8.71,4.07E+025
20050401,90.52,14.2,6.63E+025
20050501,6.82,1.07,5E+024
20050601,1.86,0.29,1.36E+024
20050701,3.45,0.54,2.53E+024
20050801,3.49,0.55,2.56E+024
20050901,18.93,2.97,1.39E+025
20051001,5.29,0.83,3.88E+024
20051101,9.29,1.46,6.81E+024
20051201,20.07,3.15,1.47E+025
20060131,25.53,4.01,1.87E+025
20060228,24.58,3.86,1.8E+025
20060331,14.02,2.2,1.03E+025
20060430,13.01,2.04,9.54E+024
20060531,11.07,1.74,8.11E+024
20060630,13.22,2.07,9.69E+024
20060731,18.88,2.96,1.38E+025
20060831,20.67,3.24,1.52E+025
20060930,17.13,2.69,1.26E+025
20061031,15.66,2.46,1.15E+025
20061130,14.43,2.26,1.06E+025
20061231,9.82,1.54,7.2E+024
20070131,6.88,1.08,5.04E+024
20070228,2.81,0.44,2.06E+024
20070331,5.89,0.92,4.32E+024
20070430,6.31,0.99,4.63E+024
20070531,5.2,0.82,3.81E+024
20070630,2.74,0.43,2.01E+024
20070731,12.95,2.03,9.5E+024
20070831,15.96,2.5,1.17E+025
20070930,11.98,1.88,8.78E+024
20071031,10.36,1.62,7.59E+024
20071130,16.47,2.58,1.21E+025
20071231,6.44,1.01,4.72E+024
20080131,16.35,2.57,1.2E+025
20080229,6.18,0.97,4.53E+024
20080331,10.39,1.63,7.62E+024
20080430,22.61,3.55,1.66E+025
20080531,42.89,6.73,3.14E+025
20080630,17.44,2.74,1.28E+025
20080731,30.7,4.82,2.25E+025
20080831,18.41,2.89,1.35E+025
20080930,8.99,1.41,6.59E+024
20081031,7.05,1.11,5.17E+024
20081130,9.91,1.56,7.27E+024
20081231,7.6,1.19,5.57E+024
20090131,11.59,1.82,8.5E+024
20090228,19.22,3.02,1.41E+025
20090331,19.47,3.05,1.43E+025
20090430,26.65,4.18,1.95E+025
20090531,46.05,7.23,3.38E+025
20090630,26.89,4.22,1.97E+025
20090731,41.26,6.47,3.02E+025
20090831,20.7,3.25,1.52E+025
20090930,20.83,3.27,1.53E+025
20091031,4.69,0.74,3.44E+024
20091130,4.53,0.71,3.32E+024
20091231,11.33,1.78,8.3E+024
20100131,10.08,1.58,7.39E+024
20100228,8.71,1.37,6.39E+024
20100331,10.54,1.65,7.73E+024
20100430,10.1,1.59,7.41E+024
20100531,26.34,4.13,1.93E+025
20100630,22.1,3.47,1.62E+025
20100731,46.83,7.35,3.43E+025
20100831,34.04,5.34,2.49E+025
20100930,48.06,7.54,3.52E+025
20101031,32.82,5.15,2.41E+025
20101130,12.78,2,9.37E+024
20101231,11.86,1.86,8.69E+024
20110131,36.4,5.71,2.67E+025
20110228,47.9,7.52,3.51E+025
20110331,35.3,5.54,2.59E+025
20110430,24.9,3.91,1.83E+025
20110531,55.4,8.69,4.06E+025
20110630,46.1,7.23,3.38E+025
20110731,54.9,8.61,4.02E+025
20110831,32.4,5.08,2.37E+025
20110930,19.8,3.11,1.45E+025
20111031,16.3,2.56,1.19E+025
20111130,18.6,2.92,1.36E+025
20111231,12,1.88,8.8E+024
20120131,25.9,4.06,1.9E+025
20120229,20.5,3.22,1.5E+025
20120331,52.6,8.25,3.86E+025
20120430,23.7,3.72,1.74E+025
20120531,18.4,2.89,1.35E+025
20120630,0.65,0.1,4.76E+023
20120731,6.2,0.97,4.54E+024
20120831,5.62,0.88,4.12E+024
20120930,4.71,0.74,3.45E+024
20121031,6.3,0.99,4.62E+024
20121130,11.9,1.87,8.72E+024
20121231,37.2,5.84,2.73E+025
20130131,29.4,4.61,2.15E+025
20130228,13.9,2.18,1.02E+025
20130331,19.8,3.11,1.45E+025
20130430,22.1,3.47,1.62E+025
20130531,31.4,4.93,2.3E+025
20130630,0.96,0.15,7.04E+023
20130731,3.07,0.48,2.25E+024
20130831,37.1,5.82,2.72E+025
20130930,40.3,6.32,2.95E+025
20131031,24.4,3.83,1.79E+025
20131130,35,5.49,2.57E+025
20131231,35.9,5.63,2.63E+025
20140131,35.6,5.59,2.61E+025
20140228,12.9,2.02,9.46E+024
20140331,47.9,7.52,3.51E+025
20140430,29.1,4.57,2.13E+025
20140531,21.8,3.42,1.6E+025
20140630,1.6,0.25,1.17E+024
20140731,10.3,1.62,7.55E+024
20140831,26.8,4.2,1.96E+025
20140930,31.2,4.9,2.29E+025
20141031,25.9,4.06,1.9E+025
20141130,51.1,8.02,3.75E+025
20141231,62,9.73,4.54E+025
20150131,40.7,6.39,2.98E+025
20150228,31.8,4.99,2.33E+025
20150331,42.2,6.62,3.09E+025
20150430,32.1,5.04,2.35E+025
20150531,15.8,2.48,1.16E+025
20150630,38.6,6.06,2.83E+025
20150731,8.8,1.38,6.45E+024
20150831,6.84,1.07,5.01E+024
20150930,21.9,3.44,1.61E+025
20151031,57.2,8.97,4.19E+025
20151130,21.2,3.33,1.55E+025
20151231,47.7,7.48,3.5E+025
20160131,56.4,8.85,4.13E+025
20160229,43.3,6.79,3.17E+025
20160331,53.8,8.44,3.94E+025
20160430,21,3.29,1.54E+025
20160531,30.9,4.85,2.26E+025
20160630,57.3,8.99,4.2E+025
20160731,65,10.2,4.76E+025
20160831,67.5,10.59,4.95E+025
20160930,37.9,5.95,2.78E+025
20161031,25.4,3.99,1.86E+025
20161130,3.33,0.52,2.44E+024
20161231,60.5,9.49,4.43E+025
20170131,24.6,3.86,1.8E+025
20170228,52.8,8.28,3.87E+025
20170331,14,2.2,1.03E+025
20170430,21.2,3.33,1.55E+025
20170531,16.5,2.59,1.21E+025
20170630,27.1,4.25,1.99E+025
20170731,19,2.98,1.39E+025
20170831,27.3,4.28,2E+025
20170930,22.1,3.47,1.62E+025
20171031,1.62,0.25,1.19E+024
20171130,16.6,2.6,1.22E+025
20171231,16.4,2.57,1.2E+025
20180131,26.4,4.14,1.94E+025
20180228,26,4.08,1.91E+025
20180331,28.7,4.5,2.1E+025
20180430,29.3,4.6,2.15E+025
20180531,15.7,2.46,1.15E+025
20180630,33.4,5.24,2.45E+025
20180731,32.7,5.13,2.4E+025
20180831,26.2,4.11,1.92E+025
20180930,32.6,5.11,2.39E+025
20181031,27.7,4.35,2.03E+025
20181130,13.1,2.06,9.6E+024
20181231,8.35,1.31,6.12E+024
20190131,9.18,1.44,6.73E+024
20190228,9.83,1.54,7.21E+024
20190331,2.55,0.4,1.87E+024
20190430,4.14,0.65,3.03E+024
20190531,2.04,0.32,1.5E+024
20190630,1.84,0.29,1.35E+024
20190731,2.58,0.4,1.89E+024
20190831,4.18,0.66,3.06E+024
20190930,2.04,0.32,1.5E+024
20191031,3.69,0.58,2.7E+024
20191130,0.08,0.01,5.94E+022
20191231,2.49,0.39,1.83E+024
20200131,3.23,0.51,2.37E+024
20200229,7.65,1.2,5.61E+024
20200331,1.62,0.25,1.19E+024
20200430,1.62,0.25,1.19E+024
20200531,1.62,0.25,1.19E+024
20200630,1.62,0.25,1.19E+024
20200731,1.19,0.19,8.72E+023
20200831,1.11,0.17,8.14E+023
20200930,2.01,0.32,1.47E+024
20201031,2.26,0.35,1.66E+024
20201130,1.23,0.19,9.02E+023
20201231,3.93,0.62,2.88E+024
20210131,3.45,0.54,2.53E+024
20210228,1.42,0.22,1.04E+024
20210331,2.5,0.39,1.83E+024
20210430,3.4,0.53,2.49E+024
20210531,0.793,0.12,5.81E+023
20210630,0.916,0.14,6.71E+023
20210731,2.57,0.4,1.88E+024
20210831,1.37,0.21,1E+024
20210930,2.83,0.44,2.07E+024
20211031,1.72,0.27,1.26E+024
20211130,0.344,0.05,2.52E+023
20211231,0.376,0.06,2.76E+023
20220131,1.25,0.2,9.16E+023
20220228,1.77,0.28,1.3E+024
20220331,1.72,0.27,1.26E+024
20220430,0.37,0.06,2.68E+023
20220531,0.72,0.11,5.24E+023
20220630,3.04,0.48,2.23E+024
20220731,1.84,0.29,1.35E+024
20220831,0.67,0.11,4.93E+023
20220930,1.29,0.2,9.46E+023
20221031,1.23,0.19,9.02E+023
20221130,1.54,0.24,1.13E+024
20221231,1.22,0.19,8.94E+023
